Comparison,Estimate,Std.error,Df,Statistic,Adj.p.value,Significance
DMK - Radiometric,-6.93,8.69,54,-0.8,0.984,
DMK - RadiometricDMK,-7.63,8.69,54,-0.88,0.974,
DMK - RadiometricTerrain,14.31,8.69,54,1.65,0.653,
DMK - RadiometricTerrainDMK,15.83,8.69,54,1.82,0.539,
DMK - Terrain,17.71,8.69,54,2.04,0.403,
DMK - TerrainDMK,20.55,8.69,54,2.37,0.233,
Radiometric - RadiometricDMK,-0.7,8.69,54,-0.08,1,
Radiometric - RadiometricTerrain,21.24,8.69,54,2.45,0.2,
Radiometric - RadiometricTerrainDMK,22.76,8.69,54,2.62,0.14,
Radiometric - Terrain,24.64,8.69,54,2.84,0.086,
Radiometric - TerrainDMK,27.48,8.69,54,3.16,0.039,*
RadiometricDMK - RadiometricTerrain,21.95,8.69,54,2.53,0.17,
RadiometricDMK - RadiometricTerrainDMK,23.47,8.69,54,2.7,0.118,
RadiometricDMK - Terrain,25.35,8.69,54,2.92,0.071,
RadiometricDMK - TerrainDMK,28.19,8.69,54,3.24,0.031,*
RadiometricTerrain - RadiometricTerrainDMK,1.52,8.69,54,0.17,1,
RadiometricTerrain - Terrain,3.4,8.69,54,0.39,1,
RadiometricTerrain - TerrainDMK,6.24,8.69,54,0.72,0.991,
RadiometricTerrainDMK - Terrain,1.88,8.69,54,0.22,1,
RadiometricTerrainDMK - TerrainDMK,4.72,8.69,54,0.54,0.998,
Terrain - TerrainDMK,2.84,8.69,54,0.33,1,
