Comparison,Estimate,Std.error,Df,Statistic,Adj.p.value,Significance
DMK - Radiometric,-2.91,3.13,114,-0.93,0.967,
DMK - RadiometricDMK,-3.69,3.13,114,-1.18,0.902,
DMK - RadiometricTerrain,8.1,3.13,114,2.58,0.14,
DMK - RadiometricTerrainDMK,8.21,3.13,114,2.62,0.13,
DMK - Terrain,6.81,3.13,114,2.17,0.319,
DMK - TerrainDMK,7.33,3.13,114,2.34,0.235,
Radiometric - RadiometricDMK,-0.77,3.13,114,-0.25,1,
Radiometric - RadiometricTerrain,11.02,3.13,114,3.51,0.011,*
Radiometric - RadiometricTerrainDMK,11.13,3.13,114,3.55,0.01,*
Radiometric - Terrain,9.72,3.13,114,3.1,0.038,*
Radiometric - TerrainDMK,10.24,3.13,114,3.27,0.024,*
RadiometricDMK - RadiometricTerrain,11.79,3.13,114,3.76,0.005,**
RadiometricDMK - RadiometricTerrainDMK,11.9,3.13,114,3.8,0.004,**
RadiometricDMK - Terrain,10.5,3.13,114,3.35,0.018,*
RadiometricDMK - TerrainDMK,11.01,3.13,114,3.51,0.011,*
RadiometricTerrain - RadiometricTerrainDMK,0.11,3.13,114,0.04,1,
RadiometricTerrain - Terrain,-1.29,3.13,114,-0.41,1,
RadiometricTerrain - TerrainDMK,-0.77,3.13,114,-0.25,1,
RadiometricTerrainDMK - Terrain,-1.4,3.13,114,-0.45,0.999,
RadiometricTerrainDMK - TerrainDMK,-0.88,3.13,114,-0.28,1,
Terrain - TerrainDMK,0.52,3.13,114,0.17,1,
