Comparison,Estimate,Std.error,Df,Statistic,Adj.p.value,Significance
DMK - Radiometric,0.04,0.08,108.23,0.55,0.998,
DMK - RadiometricDMK,0.01,0.08,108.23,0.08,1,
DMK - RadiometricTerrain,-0.16,0.08,108.23,-2.07,0.378,
DMK - RadiometricTerrainDMK,-0.16,0.08,108.23,-2.11,0.357,
DMK - Terrain,-0.11,0.08,108.23,-1.48,0.755,
DMK - TerrainDMK,-0.1,0.08,108.23,-1.34,0.83,
Radiometric - RadiometricDMK,-0.04,0.06,105.01,-0.56,0.998,
Radiometric - RadiometricTerrain,-0.2,0.06,105.01,-3.16,0.033,*
Radiometric - RadiometricTerrainDMK,-0.2,0.06,105.01,-3.2,0.029,*
Radiometric - Terrain,-0.16,0.06,105.01,-2.45,0.19,
Radiometric - TerrainDMK,-0.15,0.06,105.01,-2.28,0.263,
RadiometricDMK - RadiometricTerrain,-0.17,0.06,105.01,-2.6,0.137,
RadiometricDMK - RadiometricTerrainDMK,-0.17,0.06,105.01,-2.64,0.124,
RadiometricDMK - Terrain,-0.12,0.06,105.01,-1.89,0.494,
RadiometricDMK - TerrainDMK,-0.11,0.06,105.01,-1.72,0.605,
RadiometricTerrain - RadiometricTerrainDMK,-0,0.06,105.01,-0.04,1,
RadiometricTerrain - Terrain,0.05,0.06,105.01,0.71,0.992,
RadiometricTerrain - TerrainDMK,0.06,0.06,105.01,0.88,0.975,
RadiometricTerrainDMK - Terrain,0.05,0.06,105.01,0.75,0.989,
RadiometricTerrainDMK - TerrainDMK,0.06,0.06,105.01,0.92,0.968,
Terrain - TerrainDMK,0.01,0.06,105.01,0.17,1,
